RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishDetails_present,FinishDetails_clean,BMatchWCRank_present,RMatchWCRank_present,BMatchWCRank_cat,RMatchWCRank_cat,BWFeatherweightRank_present,RWFeatherweightRank_present,BPFPRank_present,BWFlyweightRank_present,RWFlyweightRank_present,BWStrawweightRank_present,BWBantamweightRank_present,BWelterweightRank_present,BBantamweightRank_present,BLightHeavyweightRank_present,BLightweightRank_present,BFeatherweightRank_present,BFlyweightRank_present,BMiddleweightRank_present,RWStrawweightRank_present,BHeavyweightRank_present,RWBantamweightRank_present,RFeatherweightRank_present,RBantamweightRank_present,RMiddleweightRank_present,RLightHeavyweightRank_present,RLightweightRank_present,RHeavyweightRank_present,RFlyweightRank_present,RWelterweightRank_present,RPFPRank_present,blue_has_any_rank,red_has_any_rank,Winner
102.0,-122.0,102.0,81.9672,2024-11-23,False,Flyweight,MALE,3,2,0,0,3.9,0.45,0.2,1.6,0.21,2,3,15,0,0,2,1,0,0,0,3,Orthodox,172.72,170.18,125,0,2,0,3.13,0.38,2.4,2.42,0.31,2,0,4,0,0,1,0,0,1,0,2,Orthodox,170.18,180.34,125,26,31,2,-2,0,1,3,11,0,0,-1,2.54,-10.16,5,0.77,-2.2,-0.82,neither,S-DEC,3.0,900.0,450.0,130.0,500.0,400.0,600.0,1000.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
-245.0,200.0,40.8163,200.0,2024-11-23,False,Lightweight,MALE,3,0,1,0,3.64,0.37,0.0,0.0,0.0,1,2,11,0,0,0,1,2,0,0,3,Orthodox,175.26,177.8,155,0,1,0,3.86,0.29,0.0,0.0,0.0,2,2,12,0,0,1,1,1,0,0,3,Orthodox,182.88,180.34,155,24,31,0,0,-1,0,0,-1,0,1,0,-7.62,-2.54,7,-0.22,0.0,0.0,neither,U-DEC,3.0,900.0,250.0,650.0,750.0,1800.0,420.0,300.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
-105.0,-115.0,95.2381,86.9565,2024-11-16,False,Bantamweight,MALE,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,Orthodox,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,Southpaw,172.72,177.8,135,30,34,-1,3,-3,-7,-4,-34,0,-2,1,0.0,-2.54,4,1.62,0.4,0.08,Red,U-DEC,3.0,900.0,215.0,250.0,1400.0,1400.0,500.0,225.0,0,Not Recorded,0,1,Unranked,Rank 11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Blue
-170.0,142.0,58.8235,142.0,2024-11-16,False,Welterweight,MALE,3,1,0,0,2.26,0.44,1.5,1.51,0.35,1,3,11,0,0,0,0,0,2,0,2,Orthodox,177.8,182.88,170,3,0,0,3.5,0.49,1.6,1.15,0.32,3,6,24,0,0,0,1,0,5,0,6,Switch,187.96,187.96,170,32,31,-2,0,-2,-4,-3,-13,0,0,-3,-10.16,-5.08,-1,-1.24,-0.1,0.36,neither,KO/TKO,1.0,175.0,180.0,300.0,380.0,550.0,450.0,1100.0,1,Punch,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
250.0,-310.0,250.0,32.2581,2024-11-16,False,Welterweight,MALE,3,0,3,0,4.26,0.49,0.0,2.16,0.5,3,0,9,0,1,0,2,0,0,0,3,Orthodox,182.88,182.88,170,0,1,0,3.71,0.38,0.0,2.21,0.24,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,32,26,0,2,2,2,-1,3,0,0,0,2.54,0.0,-6,0.55,0.0,-0.05,neither,KO/TKO,3.0,640.0,500.0,-150.0,900.0,1200.0,1200.0,450.0,1,Punch,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
-150.0,130.0,66.6667,130.0,2024-11-16,False,Women's Flyweight,FEMALE,3,1,0,0,2.6,0.49,0.4,4.37,0.35,2,1,6,0,0,0,0,1,1,0,2,Orthodox,167.64,167.64,125,0,3,0,3.12,0.45,0.3,0.93,0.41,3,4,21,0,0,1,2,0,1,0,4,Southpaw,162.56,162.56,125,29,30,1,-3,-1,-2,-3,-15,0,1,0,5.08,5.08,1,-0.52,0.1,3.44,neither,U-DEC,3.0,900.0,250.0,350.0,750.0,1000.0,420.0,525.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
550.0,-800.0,550.0,12.5,2024-11-09,False,Welterweight,MALE,5,0,4,0,4.39,0.57,0.0,0.44,1.0,4,0,7,0,0,0,0,4,0,0,4,Switch,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,0,4,10,6,2,0,22,Orthodox,190.5,203.2,170,37,31,-1,4,-3,-18,-11,-81,0,-2,-2,-5.08,-5.08,-6,0.96,-0.2,-1.68,Red,KO/TKO,1.0,290.0,1100.0,800.0,1600.0,800.0,2000.0,-400.0,1,Punch,0,1,Unranked,Rank 11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Blue
250.0,-310.0,250.0,32.2581,2024-11-09,False,Middleweight,MALE,3,0,0,0,3.24,0.57,1.3,6.39,0.38,0,0,0,0,0,0,0,0,0,0,0,Southpaw,193.04,198.12,185,0,2,0,3.1,0.45,1.5,2.01,0.35,3,9,43,0,0,0,0,1,11,0,12,Southpaw,185.42,195.58,185,36,34,0,-2,-3,-12,-9,-43,0,-1,-11,7.62,2.54,-2,0.14,-0.2,4.38,neither,SUB,3.0,704.0,700.0,200.0,600.0,165.0,1400.0,450.0,1,Arm Triangle,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
360.0,-470.0,360.0,21.2766,2024-11-09,False,Women's Strawweight,FEMALE,3,0,2,0,2.89,0.48,1.0,2.68,0.39,2,6,37,0,0,0,2,2,7,0,11,Orthodox,165.1,160.02,115,2,0,0,3.42,0.4,0.2,1.8,0.33,4,2,13,0,0,1,1,1,0,0,4,Orthodox,157.48,157.48,115,31,29,-2,2,-2,7,4,24,0,1,7,7.62,2.54,-2,-0.53,0.8,0.88,Red,U-DEC,3.0,900.0,600.0,250.0,2200.0,110.0,900.0,500.0,0,Not Recorded,1,1,Rank 11-25,Rank 11-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Blue
-150.0,130.0,66.6667,130.0,2024-11-09,False,Women's Strawweight,FEMALE,3,0,1,0,4.55,0.5,0.9,0.72,0.25,2,2,15,0,0,1,1,2,0,0,4,Orthodox,157.48,160.02,115,1,0,0,5.54,0.43,0.2,0.31,0.22,4,8,46,1,0,2,6,0,1,0,9,Orthodox,160.02,162.56,115,39,24,-1,1,-2,-5,-6,-31,-1,2,-1,-2.54,-2.54,-15,-0.99,0.7,0.41,neither,U-DEC,3.0,900.0,250.0,350.0,750.0,1000.0,420.0,525.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue
